peak_label	chr	start_coord	end_coord	length_peak	abs_summit_coord	pileup_height	neg_log10_pvalue	gene_3UTR	UTR_start	UTR_end	UTR_strand
Nuc_1_SRR6315594_peak_27	1	160420	160597	178	160496	280	151.65935	NCU08067	160387	161116	+
Nuc_1_SRR6315594_peak_28	1	160945	161146	202	161058	1167	1301.69824	NCU08067	160387	161116	+
Nuc_1_SRR6315594_peak_29	1	170273	170364	92	170320	236	112.90155	NCU08070	169835	171262	-
Nuc_1_SRR6315594_peak_30	1	170821	170930	110	170872	159	54.10661	NCU08070	169835	171262	-
Nuc_1_SRR6315594_peak_31	1	174287	174416	130	174357	706	640.2749	NCU08071	174121	174938	+
Nuc_1_SRR6315594_peak_32	1	174779	174949	171	174831	198	82.26366	NCU08071	174121	174938	+
Nuc_1_SRR6315594_peak_48a	1	305288	305631	344	305343	1161	1292.49719	NCU08110	305342	305702	-
Nuc_1_SRR6315594_peak_48b	1	305288	305631	344	305483	129	35.20679	NCU08110	305342	305702	-
Nuc_1_SRR6315594_peak_48c	1	305288	305631	344	305589	104	21.7182	NCU08110	305342	305702	-
Nuc_1_SRR6315594_peak_53a	1	343146	343426	281	343196	161	55.45835	NCU08119	343085	343487	+
Nuc_1_SRR6315594_peak_53b	1	343146	343426	281	343300	283	154.41629	NCU08119	343085	343487	+
Nuc_1_SRR6315594_peak_58	1	357544	357630	87	357585	214	94.8126	NCU07509	357543	357891	+
Nuc_1_SRR6315594_peak_59	1	357781	357933	153	357864	2449	3500.46338	NCU07509	357543	357891	+
Nuc_1_SRR6315594_peak_65a	1	386985	387376	392	387032	280	151.65935	NCU07503	386939	387494	-
Nuc_1_SRR6315594_peak_65b	1	386985	387376	392	387224	1888	2489.40894	NCU07503	386939	387494	-
Nuc_1_SRR6315594_peak_65c	1	386985	387376	392	387311	543	434.50851	NCU07503	386939	387494	-
Nuc_1_SRR6315594_peak_87	1	533006	533104	99	533050	130	35.7922	NCU07468	532756	533414	+
Nuc_1_SRR6315594_peak_88a	1	533186	533440	255	533245	335	204.26947	NCU07468	532756	533414	+
Nuc_1_SRR6315594_peak_88b	1	533186	533440	255	533386	678	603.64984	NCU07468	532756	533414	+
Nuc_1_SRR6315594_peak_93	1	555116	555232	117	555185	402	273.59543	NCU07460	554965	555385	+
Nuc_1_SRR6315594_peak_94	1	555303	555416	114	555363	137	39.98061	NCU07460	554965	555385	+
Nuc_1_SRR6315594_peak_107a	1	614764	615156	393	614852	582	457.26016	NCU07443	614450	615081	+
Nuc_1_SRR6315594_peak_107b	1	614764	615156	393	615058	1490	1749.34692	NCU07443	614450	615081	+
Nuc_1_SRR6315594_peak_116a	1	654974	655223	250	655079	740	685.39349	NCU07430	654409	655451	+
Nuc_1_SRR6315594_peak_116b	1	654974	655223	250	655150	783	743.4212	NCU07430	654409	655451	+
Nuc_1_SRR6315594_peak_117	1	655354	655512	159	655446	1562	1934.0636	NCU07430	654409	655451	+
Nuc_1_SRR6315594_peak_134	1	774146	774318	173	774216	1288	1184.19824	NCU09079	774193	775359	-
Nuc_1_SRR6315594_peak_135	1	774734	774917	184	774788	4394	6302.01172	NCU09079	774193	775359	-
Nuc_1_SRR6315594_peak_136	1	775059	775194	136	775124	325	124.85693	NCU09079	774193	775359	-
Nuc_1_SRR6315594_peak_142a	1	819318	819556	239	819365	645	110.27881	NCU09088	819221	819586	-
