peak_label	chr	start_coord	end_coord	length_peak	abs_summit_coord	pileup_height	neg_log10_pvalue	gene_3UTR	UTR_start	UTR_end	UTR_strand
Nuc_2_SRR6315593_peak_27	1	160435	160597	163	160505	356	206.09245	NCU08067	160387	161116	+
Nuc_2_SRR6315593_peak_28	1	160695	160824	130	160771	98	15.04212	NCU08067	160387	161116	+
Nuc_2_SRR6315593_peak_29	1	160965	161157	193	161061	1259	1370.62402	NCU08067	160387	161116	+
Nuc_2_SRR6315593_peak_31	1	169879	169959	81	169918	132	31.13598	NCU08070	169835	171262	-
Nuc_2_SRR6315593_peak_32	1	170273	170368	96	170320	420	269.88864	NCU08070	169835	171262	-
Nuc_2_SRR6315593_peak_33	1	170823	170929	107	170875	153	40.6564	NCU08070	169835	171262	-
Nuc_2_SRR6315593_peak_34	1	174287	174415	129	174358	907	856.82281	NCU08071	174121	174938	+
Nuc_2_SRR6315593_peak_35	1	174779	174949	171	174831	207	78.07155	NCU08071	174121	174938	+
Nuc_2_SRR6315593_peak_50b	1	305279	305631	353	305474	131	30.60411	NCU08110	305342	305702	-
Nuc_2_SRR6315593_peak_50c	1	305279	305631	353	305588	125	27.48214	NCU08110	305342	305702	-
Nuc_2_SRR6315593_peak_55a	1	343151	343746	596	343201	177	58.10127	NCU08119	343085	343487	+
Nuc_2_SRR6315593_peak_55b	1	343151	343746	596	343300	261	120.92214	NCU08119	343085	343487	+
Nuc_2_SRR6315593_peak_59	1	357546	357630	85	357587	220	88.51925	NCU07509	357543	357891	+
Nuc_2_SRR6315593_peak_60	1	357783	357933	151	357867	2282	3057.50342	NCU07509	357543	357891	+
Nuc_2_SRR6315593_peak_67a	1	386968	387372	405	387031	365	214.78209	NCU07503	386939	387494	-
Nuc_2_SRR6315593_peak_67b	1	386968	387372	405	387121	263	122.57762	NCU07503	386939	387494	-
Nuc_2_SRR6315593_peak_67c	1	386968	387372	405	387223	2648	3715.70215	NCU07503	386939	387494	-
Nuc_2_SRR6315593_peak_91	1	533013	533099	87	533054	138	34.39415	NCU07468	532756	533414	+
Nuc_2_SRR6315593_peak_92	1	533186	533293	108	533245	361	210.90805	NCU07468	532756	533414	+
Nuc_2_SRR6315593_peak_93	1	533333	533440	108	533389	830	760.09808	NCU07468	532756	533414	+
Nuc_2_SRR6315593_peak_98	1	555136	555235	100	555188	359	208.9782	NCU07460	554965	555385	+
Nuc_2_SRR6315593_peak_99	1	555315	555415	101	555367	135	32.75084	NCU07460	554965	555385	+
Nuc_2_SRR6315593_peak_112a	1	614770	615158	389	614855	665	510.75974	NCU07443	614450	615081	+
Nuc_2_SRR6315593_peak_112b	1	614770	615158	389	615063	1732	2013.93396	NCU07443	614450	615081	+
Nuc_2_SRR6315593_peak_121a	1	654998	655223	226	655073	591	459.64349	NCU07430	654409	655451	+
Nuc_2_SRR6315593_peak_121b	1	654998	655223	226	655157	692	582.30597	NCU07430	654409	655451	+
Nuc_2_SRR6315593_peak_122	1	655363	655512	150	655448	1788	2210.54492	NCU07430	654409	655451	+
Nuc_2_SRR6315593_peak_143	1	774146	774318	173	774210	1494	1390.06165	NCU09079	774193	775359	-
Nuc_2_SRR6315593_peak_144	1	774730	774909	180	774786	5147	7461.21143	NCU09079	774193	775359	-
Nuc_2_SRR6315593_peak_145	1	775059	775183	125	775118	356	132.69531	NCU09079	774193	775359	-
Nuc_2_SRR6315593_peak_155a	1	819304	819558	255	819360	979	325.96561	NCU09088	819221	819586	-
Nuc_2_SRR6315593_peak_155b	1	819304	819558	255	819513	451	47.78289	NCU09088	819221	819586	-
Nuc_2_SRR6315593_peak_156a	1	822574	823036	463	822649	2307	1483.75354	NCU09089	822401	823194	+
Nuc_2_SRR6315593_peak_156b	1	822574	823036	463	822818	16491	24108.69727	NCU09089	822401	823194	+
Nuc_2_SRR6315593_peak_156c	1	822574	823036	463	822951	744	176.55804	NCU09089	822401	823194	+
Nuc_2_SRR6315593_peak_166a	1	858144	858488	345	858281	1723	2103.20239	NCU09101	858079	858451	+
Nuc_2_SRR6315593_peak_166b	1	858144	858488	345	858433	145	38.3358	NCU09101	858079	858451	+
Nuc_2_SRR6315593_peak_168	1	863426	863507	82	863469	162	48.49711	NCU09104	863464	864345	-
Nuc_2_SRR6315593_peak_169	1	863535	863614	80	863576	132	31.13598	NCU09104	863464	864345	-
Nuc_2_SRR6315593_peak_170	1	863879	864049	171	863946	1594	1893.36096	NCU09104	863464	864345	-
