peak_label	chr	start_coord	end_coord	length_peak	abs_summit_coord	pileup_height	neg_log10_pvalue	gene_3UTR	UTR_start	UTR_end	UTR_strand
sample_3_wt_rep2_peak_22	1	160430	160504	75	160490	51	16.10151	NCU08067	160387	161116	+
sample_3_wt_rep2_peak_23	1	160952	161093	142	161024	296	286.12561	NCU08067	160387	161116	+
sample_3_wt_rep2_peak_24	1	169900	170027	128	169954	321	320.93613	NCU08070	169835	171262	-
sample_3_wt_rep2_peak_25	1	170316	170401	86	170358	272	253.56561	NCU08070	169835	171262	-
sample_3_wt_rep2_peak_26	1	170856	170930	75	170901	39	9.25287	NCU08070	169835	171262	-
sample_3_wt_rep2_peak_27	1	174288	174362	75	174323	67	27.03695	NCU08071	174121	174938	+
sample_3_wt_rep2_peak_28a	1	174752	174910	159	174791	58	20.6599	NCU08071	174121	174938	+
sample_3_wt_rep2_peak_28b	1	174752	174910	159	174885	42	10.83817	NCU08071	174121	174938	+
sample_3_wt_rep2_peak_38a	1	305329	305566	238	305375	313	309.70197	NCU08110	305342	305702	-
sample_3_wt_rep2_peak_38b	1	305329	305566	238	305513	80	37.13516	NCU08110	305342	305702	-
sample_3_wt_rep2_peak_47a	1	343131	343730	600	343168	56	19.31946	NCU08119	343085	343487	+
sample_3_wt_rep2_peak_47b	1	343131	343730	600	343261	154	108.77055	NCU08119	343085	343487	+
sample_3_wt_rep2_peak_47c	1	343131	343730	600	343342	107	60.84317	NCU08119	343085	343487	+
sample_3_wt_rep2_peak_50	1	357510	357585	76	357547	77	34.71963	NCU07509	357543	357891	+
sample_3_wt_rep2_peak_51	1	357809	357883	75	357845	85	41.2663	NCU07509	357543	357891	+
sample_3_wt_rep2_peak_57a	1	386991	387386	396	387048	118	71.38472	NCU07503	386939	387494	-
sample_3_wt_rep2_peak_57b	1	386991	387386	396	387147	113	66.53615	NCU07503	386939	387494	-
sample_3_wt_rep2_peak_57c	1	386991	387386	396	387255	506	601.31287	NCU07503	386939	387494	-
sample_3_wt_rep2_peak_57d	1	386991	387386	396	387348	85	41.2663	NCU07503	386939	387494	-
sample_3_wt_rep2_peak_76	1	532930	533040	111	532987	48	14.26762	NCU07468	532756	533414	+
sample_3_wt_rep2_peak_77a	1	533193	533415	223	533221	30	5.09168	NCU07468	532756	533414	+
sample_3_wt_rep2_peak_77b	1	533193	533415	223	533360	193	153.36501	NCU07468	532756	533414	+
sample_3_wt_rep2_peak_80	1	555109	555183	75	555163	51	16.10151	NCU07460	554965	555385	+
sample_3_wt_rep2_peak_81	1	555304	555378	75	555343	71	30.03917	NCU07460	554965	555385	+
sample_3_wt_rep2_peak_92a	1	614789	615131	343	614833	93	48.13341	NCU07443	614450	615081	+
sample_3_wt_rep2_peak_92b	1	614789	615131	343	615026	373	395.97028	NCU07443	614450	615081	+
sample_3_wt_rep2_peak_103a	1	654983	655174	192	655025	175	132.31471	NCU07430	654409	655451	+
sample_3_wt_rep2_peak_103b	1	654983	655174	192	655126	165	120.9595	NCU07430	654409	655451	+
sample_3_wt_rep2_peak_104	1	655380	655465	86	655420	348	359.47571	NCU07430	654409	655451	+
sample_3_wt_rep2_peak_118	1	774194	774281	88	774237	179	136.92644	NCU09079	774193	775359	-
sample_3_wt_rep2_peak_119	1	774781	774865	85	774826	1108	1683.90674	NCU09079	774193	775359	-
sample_3_wt_rep2_peak_122a	1	819349	819566	218	819395	501	109.44166	NCU09088	819221	819586	-
sample_3_wt_rep2_peak_122b	1	819349	819566	218	819533	270	17.42564	NCU09088	819221	819586	-
sample_3_wt_rep2_peak_123a	1	822738	822996	259	822781	17814	29122.95703	NCU09089	822401	823194	+
sample_3_wt_rep2_peak_123b	1	822738	822996	259	822939	929	392.55765	NCU09089	822401	823194	+
sample_3_wt_rep2_peak_129a	1	858174	858447	274	858229	322	322.34653	NCU09101	858079	858451	+
sample_3_wt_rep2_peak_129b	1	858174	858447	274	858407	50	15.48184	NCU09101	858079	858451	+
sample_3_wt_rep2_peak_132	1	863464	863538	75	863500	46	13.08798	NCU09104	863464	864345	-
sample_3_wt_rep2_peak_133	1	863926	864006	81	863966	144	97.98218	NCU09104	863464	864345	-
sample_3_wt_rep2_peak_134a	1	928665	928889	225	928706	655	849.37793	NCU02187	928570	929260	-
sample_3_wt_rep2_peak_134b	1	928665	928889	225	928855	52	16.72934	NCU02187	928570	929260	-
sample_3_wt_rep2_peak_135	1	929205	929283	79	929242	163	118.71925	NCU02187	928570	929260	-
sample_3_wt_rep2_peak_136	1	943183	943297	115	943250	707	939.60455	NCU02184	943070	943577	+
sample_3_wt_rep2_peak_137a	1	943407	943577	171	943445	84	40.42984	NCU02184	943070	943577	+
sample_3_wt_rep2_peak_137b	1	943407	943577	171	943537	50	15.48184	NCU02184	943070	943577	+
sample_3_wt_rep2_peak_178a	1	1127160	1127445	286	1127265	1457	1644.37598	NCU02136	1126296	1127421	-
sample_3_wt_rep2_peak_178b	1	1127160	1127445	286	1127392	2761	3864.01001	NCU02136	1126296	1127421	-
sample_3_wt_rep2_peak_203	1	1236622	1236740	119	1236684	660	667.21967	NCU02114	1235389	1237074	+
sample_3_wt_rep2_peak_204	1	1236983	1237061	79	1237023	121	43.45064	NCU02114	1235389	1237074	+
sample_3_wt_rep2_peak_207a	1	1246767	1247010	244	1246809	385	413.7482	NCU02111	1246770	1247097	-
sample_3_wt_rep2_peak_207b	1	1246767	1247010	244	1246950	368	388.61179	NCU02111	1246770	1247097	-
sample_3_wt_rep2_peak_214a	1	1277054	1277291	238	1277087	61	22.72449	NCU02103	1276891	1277586	+
sample_3_wt_rep2_peak_214b	1	1277054	1277291	238	1277248	474	550.35004	NCU02103	1276891	1277586	+
sample_3_wt_rep2_peak_215	1	1277474	1277681	208	1277571	458	525.21558	NCU02103	1276891	1277586	+
sample_3_wt_rep2_peak_219a	1	1296279	1296531	253	1296330	97	39.30431	NCU02099	1296167	1296535	+
sample_3_wt_rep2_peak_219b	1	1296279	1296531	253	1296480	762	925.58759	NCU02099	1296167	1296535	+
sample_3_wt_rep2_peak_233	1	1437823	1437914	92	1437871	129	82.36573	NCU02079	1437773	1438493	-
sample_3_wt_rep2_peak_234	1	1438296	1438371	76	1438333	70	29.27947	NCU02079	1437773	1438493	-
sample_3_wt_rep2_peak_235	1	1443503	1443577	75	1443540	49	14.87049	NCU02078	1443320	1443859	+
sample_3_wt_rep2_peak_236	1	1443674	1443827	154	1443741	233	202.64667	NCU02078	1443320	1443859	+
sample_3_wt_rep2_peak_237	1	1447899	1447977	79	1447938	795	1096.01465	NCU02076	1447740	1448502	-
sample_3_wt_rep2_peak_238a	1	1448055	1448253	199	1448091	37	8.24796	NCU02076	1447740	1448502	-
sample_3_wt_rep2_peak_238b	1	1448055	1448253	199	1448209	33	6.37209	NCU02076	1447740	1448502	-
sample_3_wt_rep2_peak_246a	1	1491890	1492164	275	1491981	1620	2513.1748	NCU02064	1491850	1492150	-
sample_3_wt_rep2_peak_246b	1	1491890	1492164	275	1492125	298	251.33611	NCU02064	1491850	1492150	-
sample_3_wt_rep2_peak_255a	1	1539602	1539863	262	1539654	133	86.46036	NCU10806	1539599	1539993	-
sample_3_wt_rep2_peak_255b	1	1539602	1539863	262	1539793	160	115.37868	NCU10806	1539599	1539993	-
sample_3_wt_rep2_peak_268	1	1625939	1626086	148	1625988	75	33.13669	NCU02031	1625847	1626629	+
sample_3_wt_rep2_peak_269	1	1626176	1626275	100	1626231	103	57.12724	NCU02031	1625847	1626629	+
sample_3_wt_rep2_peak_281	1	1675366	1675497	132	1675411	80	33.7028	NCU02012	1675354	1675804	-
sample_3_wt_rep2_peak_282	1	1675583	1675725	143	1675670	142	89.29666	NCU02012	1675354	1675804	-
sample_3_wt_rep2_peak_283	1	1679872	1680000	129	1679955	252	227.12807	NCU02011	1679855	1680783	-
sample_3_wt_rep2_peak_284	1	1680196	1680294	99	1680252	206	169.02197	NCU02011	1679855	1680783	-
sample_3_wt_rep2_peak_285a	1	1685896	1686257	362	1686087	343	352.26825	NCU02010	1685685	1686358	-
sample_3_wt_rep2_peak_285b	1	1685896	1686257	362	1686203	340	347.95886	NCU02010	1685685	1686358	-
sample_3_wt_rep2_peak_286a	1	1690524	1690836	313	1690574	238	209.02647	NCU02009	1690523	1690864	-
sample_3_wt_rep2_peak_286b	1	1690524	1690836	313	1690698	66	26.30191	NCU02009	1690523	1690864	-
sample_3_wt_rep2_peak_286c	1	1690524	1690836	313	1690798	67	27.03695	NCU02009	1690523	1690864	-
sample_3_wt_rep2_peak_300a	1	1751824	1752266	443	1751870	100	48.27719	NCU01992	1751806	1752239	-
sample_3_wt_rep2_peak_300b	1	1751824	1752266	443	1752016	70	25.26043	NCU01992	1751806	1752239	-
sample_3_wt_rep2_peak_300c	1	1751824	1752266	443	1752106	669	827.70703	NCU01992	1751806	1752239	-
sample_3_wt_rep2_peak_301b	1	1755801	1756011	211	1755971	49	14.87049	NCU01991	1755857	1756242	-
sample_3_wt_rep2_peak_302	1	1756103	1756177	75	1756158	46	13.08798	NCU01991	1755857	1756242	-
sample_3_wt_rep2_peak_312b	1	1818846	1819152	307	1819014	28	4.30333	NCU01972	1818997	1819379	-
sample_3_wt_rep2_peak_312c	1	1818846	1819152	307	1819112	62	23.42661	NCU01972	1818997	1819379	-
sample_3_wt_rep2_peak_318b	1	1837021	1837469	449	1837177	6142	9316.09668	NCU01966	1836873	1837557	-
sample_3_wt_rep2_peak_318c	1	1837021	1837469	449	1837305	166	22.4297	NCU01966	1836873	1837557	-
sample_3_wt_rep2_peak_318d	1	1837021	1837469	449	1837424	870	609.44513	NCU01966	1836873	1837557	-
sample_3_wt_rep2_peak_320a	1	1847326	1847664	339	1847366	266	119.36542	NCU01964	1847284	1847697	+
sample_3_wt_rep2_peak_320b	1	1847326	1847664	339	1847506	171	50.87124	NCU01964	1847284	1847697	+
sample_3_wt_rep2_peak_320c	1	1847326	1847664	339	1847626	112	19.30494	NCU01964	1847284	1847697	+
sample_3_wt_rep2_peak_332	1	1899341	1899451	111	1899390	4001	4394.80811	NCU01948	1899267	1900281	+
