distance_from_stop	ck-1a	upf1	set-1	prd-1	pabp-2	set-2	wc-2	frq	csp-1	pkac-1	frh	NCU06565	cka	ckb-1	rco-1	nab2
1	0	0	0	4.5	0	0	1.5	2.5	37	0	0	0	3	3	1	0
2	0	0	0	4.5	0	0	1.5	2.5	37	0	0	1	3.5	3	1	0
3	0	0	0	4.5	0	0	1.5	2.5	37	0	0	1	5	3	1	0
4	0	0	0	4.5	0	0	1.5	2.5	37	0	0	1	5	3	1	0
5	0	0	0	4.5	0	0	2	2.5	37	0	0	1	5	3	1	0
6	0	0	0	4.5	0	0	2	2.5	37	0	0	1	5	3	1	0
7	0	0	0	4.5	0	0	2	2.5	37	0	0	1	5	3	1	0
8	0	0	0	4.5	1.5	0	2	2.5	37	0	0	1	6	3	1	0
9	0	0	0	4.5	2	0	2	2.5	37	0	0	1	7	3	1	0
10	0	0	0	4.5	2	0	2	2.5	37	0	0	1	7	3	1	0
11	0	0	0	4.5	2	0	2	2.5	37	0	0	1	7	3	1	0
12	0	0	0	4.5	2	0	2	2.5	37	0	0	1	7	3	1	0
13	0	0	0	4.5	2	0	2	2.5	37	0	0	1	7	3	2	0
14	0	0	0	5	2	0	2	2.5	37	0	0	1	7	3	2	0
15	0	0	0	5	2	0	2	2.5	37	0	0.5	1	7	4	2	0
16	0	0	0	5	2	0	2	2.5	37	0	0.5	1	7	4.5	2	0
17	0	0	0	5	2	0	2	2.5	37	0	1.5	1	7	4.5	2	0
18	0	0	0	5	2	0	2.5	2.5	37	0	1.5	1	7	4.5	2	0
19	0	0	0	5	2	0	2.5	2.5	37	0	1.5	1	7	6.5	2	0
20	0	0	0	5	2	0	2.5	2.5	37	0	1.5	1	7	8	2	0
21	0	0	0	5	2	0	2.5	2.5	36	0	1.5	1	7	8.5	2	0
22	0	0	0	5	2	0	2.5	3	29	0	1.5	1	7	9	2	0
23	0	0	0	5	2	0	3	3	29	0	1.5	1	7	10	2	0
24	0	0	0	5	2	0	3	3	28	0	1.5	1	7	10	2	0
25	0	0	0	5	2	0	3	3	28	0	1.5	1	7	10	2	0
26	0	0	0	5	2	0	3	3	28	0	1.5	1	7	10.5	2	0
27	0	0	0	5	2	0	3	3	28	0	1.5	1	7	10.5	2	0
28	0	0	0	5	2	0	3	3	28	0	1.5	1	7	11.5	2	0
29	0	0	0	5	2	0	3	3	28	0	1.5	1	7	11.5	2	0
30	0	0	0	5	2	0	3	2.5	28	0	1.5	1	7	11	2	0
31	0	0	0	4.5	2	0	3	2.5	28	0	1.5	1	7	10	2	0
32	0	0	0	4.5	2	0	3	2.5	28	0	1.5	1	7	10.5	2	0
33	0	0	0	4.5	2	0	3	2.5	28	0	1.5	1	7	13	2	0
34	0	0	0	4.5	2.5	0	3	2.5	28	0	1.5	1	7	13.5	2	0
35	0	0	0	4.5	2.5	0	3	2.5	28	0	1.5	1	7	14.5	2	0
36	0	0	0	4.5	2.5	0	3	2.5	28	0	1.5	1	7	14.5	2	0
37	0	0	0	4.5	2.5	0	3	2.5	28	0	1.5	1	7	14.5	2	0
38	0	0	0	5	2.5	0	2.5	2.5	28	0	1.5	1	7	15	1.5	0
39	0	0	0	5	2.5	0	2.5	2	27.5	0	1.5	1	7	15	1.5	0
40	0	0	0	5	2.5	0	2	2	26.5	0	1.5	1	7	16	1.5	0
41	0	0	0	5	2.5	0	2	2	5	0	2	1	7	16	1.5	0
42	0	0	0	5	2.5	0	2	2	4	0	2	1	7	16	1	0
43	0	0	0	5	2.5	0	2	2	3.5	0	2	1	7	30.5	1	0
44	0	0	0	5	2.5	0	2	2	0.5	0	2	1	7	32	1	0
45	0	0	0	5	3	0	2	2	0.5	0	2	1	7	32.5	1	0
46	0	0	0	5	3	0	1.5	2	0.5	0	2	1	7	34	1	0
47	0	0	0	5	3	0	1.5	2	0.5	0	2	1	7	40.5	1	0
48	0	0	0	5	3	0	1.5	2	0.5	0	2.5	1	7	42.5	1	0
49	0	0	0	2.5	3	0.5	1.5	2	0	0	2.5	1	7	47	1	0
50	0	0	0	2.5	3	0.5	1.5	2	0	0	2.5	1	7	47	1	0
51	0	0	0	2	3.5	0.5	1.5	2	0	0	2.5	1	7	51	1	0
52	0	0	0	2	4	0.5	1.5	1.5	0	0	2.5	1	7	51.5	1	0
53	0	0	0	1	4	0.5	1.5	1.5	0	0	2.5	1	7	52	1	0
54	0	0	0	1	4	0.5	1.5	1.5	0	0	2.5	1	7	69	1	0
55	0	0	0	1	4	0.5	1.5	1.5	0	0	2.5	1	7	75.5	0.5	0
56	0	0	0	1	4	0.5	1.5	1.5	0	0	3	1	7	82.5	1	0
57	0	0	0	1	4	0.5	1.5	1	0	0	3	1	7	87	1	0
58	0	0	0	1	4	0.5	1.5	1	0	0	3	1	7	88	1	0
59	0	0	0	1	4	0.5	1.5	0.5	0	0	3	1	7	90	1	0
60	0	0	0	1	4	0.5	1.5	0.5	0	0	3	1	7	91	1	0
61	0	0	0	1	4	0.5	1.5	0.5	0	0	3	1	7	92	1	0
62	0	0	0	1	5	0.5	1.5	0.5	0	0	3	1	7	93.5	1	0
63	0	0	0	1	5	0.5	1.5	0.5	0	0	3.5	1	7	94	1	0
64	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	6.5	97.5	1	0
65	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	4	98	1	0
66	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	3.5	98	1	0
67	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	3.5	98.5	1	0
68	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	3.5	99	1	0
69	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	99.5	1	0
70	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	100	1	0
71	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	100	1	0
72	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	100.5	1	0
73	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	100.5	1	0
74	0	0	0	1	5	0.5	1.5	1	0	0	3.5	1	2.5	100.5	1	0
75	0	0	0	1	5	0.5	1	1	0	0	3.5	1	2.5	100.5	1	0
76	0	0	0	1	5	0.5	1	1	0	0	3.5	1	2.5	100.5	1	0
77	0	0	0	1	5	0.5	1	1	0	0	3.5	1	2	100.5	1	0
78	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
79	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
80	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
81	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
82	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
83	0	0	0	1	5	0.5	1	1	0	0	3.5	0	2	100.5	1	0
84	0	0	0	1	3	0.5	1	1	0	0	3.5	0	0	100.5	1	0
85	0	0	0	1	3	0.5	3	1	0	0	3.5	0	0	106	1	0
86	0	0	0	1	3	0.5	3	1	0	0	3.5	0	0	107.5	1	0
87	0	0	0	1	3	0.5	5.5	1	0	0	3.5	0	0	107.5	1	0
88	0	0	0	1	3	0.5	5.5	1	0	0	3.5	0	0	110.5	0.5	0
89	0	0	0	1	3	0.5	5.5	1	0	0	3.5	0	0	110.5	0.5	0
90	0	0	0	0.5	3	0.5	5.5	1	0	0	3.5	0	0	116	0	0
91	0	0	0	0.5	3	0.5	6.5	1	0	0	3	0	0	115	0	0
92	0	0	0	0.5	3	0.5	6.5	1	0	0	3	0	0	118	0	0
93	0	0	0	0.5	3	0.5	6.5	1	0	0	2	0	0	123	0	0
94	0	0	0	0.5	3	0.5	6.5	1	0	0	2	0	0	127.5	0	0
95	0	0	0	0.5	3	0.5	6.5	1	0	0	2	0	0	125.5	0	0
96	0	0	0	0.5	3	0.5	6.5	1	0	0	2	0	0	124	0	0
97	0	0	0	0.5	3	0.5	6.5	1	0	0	2	0	0	124.5	0	0
98	0	0	0	0.5	3	0.5	6.5	0.5	0	0	2	0	0	124.5	0	0
99	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	124.5	0	0
100	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	124.5	0	0
101	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	124.5	0	0
102	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	124	0	0
103	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	124	0	0.5
104	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	123.5	0	0.5
105	0	0	0	0.5	3	0.5	6	0.5	0	0	2	0	0	123.5	0	1
