wt_rep1	wt_rep2	mut_rep1	mut_rep2
NCU00004	118.676956507384	112.145905700966	162.041773234486	146.796850155498
NCU00005	243.655344333743	312.268340874241	272.704447638525	267.629631576011
NCU00006	329.774905693084	386.710019658503	301.358175832428	283.60752002831
NCU00007	426.396852584051	488.22139981886	325.071606061865	314.56467890464
NCU00008	312.971088842481	375.108719068748	269.740268859845	198.724987625471
NCU00010	1011.37972669567	906.834996099189	523.671584233399	472.346327371094
NCU00014	65.1147902960866	72.5081286859693	63.2358139451651	64.9101718374653
NCU00015	395.939934542333	367.374518675578	327.047725247651	337.53289355482
NCU00017	1.05023855316269	0	0	0.998618028268697
NCU00018	3271.49309310177	3390.48009735592	3625.19064632517	2665.31151744915
NCU00019	59.8635975302731	67.674253440238	104.73431684668	127.823107618393
NCU00021	132.330057698499	166.285308453156	97.8178996964273	96.8659487420636
NCU00022	80.8683685935269	97.6442799637719	112.638793589825	80.8880602897645
NCU00023	858.044897933915	708.646111024206	724.247681590719	643.110010205041
NCU00024	621.74122347231	580.065029487754	673.856642353166	655.093426544265
NCU00025	858.044897933915	746.35033794091	855.659607445516	798.894422614958
NCU00026	196.394609441422	161.451433207425	178.83878631367	148.794086212036
NCU00027	108.174570975757	89.9100795706019	80.0328270243496	53.9253735265096
NCU00028	84.0190842530149	92.8104047180407	152.161177305554	129.820343674931
NCU00029	272.011785269136	261.996038318636	156.113415677126	209.709785936426
NCU00030	487.310688667487	488.22139981886	476.244723774525	376.478996657299
NCU00031	11.5526240847896	10.6345255406088	14.8208938933981	14.9792704240305
NCU00032	157.535782974403	187.554359534374	142.280581376622	124.827253533587
NCU00033	0	1.93355009829251	0.988059592893205	0
NCU00034	708.911023384813	584.898904733485	552.325312427302	745.967667116717
NCU00035	214.248664845188	203.98953536986	240.098481073049	178.752627060097
NCU00037	130.229580592173	113.112680750112	136.352223819262	117.836927335706
NCU00040	1113.25286635245	1468.53129965316	1093.78196933278	1054.54063785174
NCU00041	608.088122281196	635.171207289091	464.388008659806	519.281374699723
NCU00042	424.296375477725	407.97907073972	460.435770288234	525.273082869335
NCU00043	2457.55821440069	2058.26407963238	1987.97590090113	1525.88834719457
NCU00045	53.562166211297	58.0065029487754	183.779084278136	149.792704240305
NCU00046	720.463647469603	699.94513558189	617.537245558253	567.21504005662
NCU00050	327.674428586758	360.607093331554	196.623858985748	220.694584247382
NCU00051	288.815602119739	260.062488220343	482.173081331884	544.24682540644
NCU00052	8.40190842530149	9.66775049146257	4.94029796446603	1.99723605653739
NCU00055	4.20095421265075	0.966775049146257	0	0
NCU00056	36.758349360694	48.3387524573128	40.5104433086214	47.9336653568975
NCU00057	631.193370450775	656.440258370308	675.832761538952	947.688508826994
NCU00059	94.5214697846418	98.6110550129182	61.2596947593787	58.9184636678531
NCU00060	242.605105780581	257.162163072904	203.540276136	167.767828749141
NCU00061	72.4664601682254	57.0397278996291	71.1402906883108	90.8742405724514
NCU00064	601.786690962219	586.832454831778	624.453662708506	576.202602311038
NCU00065	396.990173095496	323.869641463996	312.226831354253	343.524601724432
NCU00066	126.028626379522	139.215607077061	169.946249977631	158.780266494723
NCU00067	1945.0418004573	1592.27850594388	1250.8834446028	1574.82063057974
NCU00068	726.765078788579	809.190716135417	653.107390902409	680.058877250983
NCU00069	210.047710632537	208.823410615591	162.041773234486	173.759536918753
NCU00070	91.3707541251537	72.5081286859693	49.4029796446603	55.922609583047
NCU00072	263.609876843834	305.500915530217	331.988023212117	263.635159462936
NCU00073	326.624190033596	237.826662089979	290.489520310602	245.6600349541
NCU00074	446.351385094142	438.915872312401	294.441758682175	232.678000586606
NCU00075	1165.76479401058	926.170497082114	836.886475180545	996.62079221216
NCU00076	285.664886460251	245.560862483149	272.704447638525	270.625485660817
NCU00077	63.0143131897612	87.9765294723094	77.06864824567	62.9129357809279
NCU00078	187.992701016121	239.760212188272	159.077594455806	163.773356636066
NCU00079	8.40190842530149	8.70097544231631	9.88059592893205	12.9820343674931
NCU00080	941.013743633767	1099.22323087929	725.235741183613	998.618028268697
NCU00081	40.9593035733448	63.8071532436529	76.0805886527768	61.9143177526592
NCU00083	298.267749098203	302.600590382778	419.925326979612	336.534275526551
NCU00084	42.0095421265075	38.6710019658503	43.474622087301	36.9488670459418
NCU00085	179.590792590819	198.188885074983	240.098481073049	142.802378042424
NCU00087	943.114220740092	861.396568789315	743.02081385569	753.956611342866
NCU00088	399.090650201821	355.773218085822	432.770101687224	376.478996657299
NCU00089	70.3659830619	87.0097544231631	208.480574100466	239.668326784487
NCU00090	2732.72071532931	3081.11208162912	2456.31614793251	2977.87896029726
