distance_from_stop	ck-1a	upf1	set-1	prd-1	pabp-2	set-2	wc-2	frq	csp-1	pkac-1	frh	NCU06565	cka	ckb-1	rco-1	nab2
1	0	0	0	20	0	6	5	0	89.5	0	0	0.5	13.5	2	0.5	0
2	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14	2	0.5	0
3	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14	2	0.5	0
4	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14	2	0.5	0
5	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14	2	0.5	0
6	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14.5	2	0.5	0
7	0	0	0	20	0	6	5	0	89.5	0	0	2.5	14.5	2	0.5	0
8	0	0	0	20	3	6	5	0	89.5	0	0	2.5	16	2	0.5	0
9	0	0	0	20	3	6	5	0	89.5	0	0	2.5	16	2	0.5	0
10	0	0	0	20	3	6	5	0	89.5	0	0	2.5	16.5	2	0.5	0
11	0	0	0	20	3	6	5	0	89.5	0	0	2.5	16.5	2	0.5	0
12	0	0	0	20	3.5	6	5.5	0	89.5	0	0	2.5	16.5	2	0.5	0
13	0	0	0	20	4.5	6	5.5	0	89.5	0	0	2.5	16.5	2	0.5	0
14	0	0	0	20	4.5	6	5.5	0	89.5	0	0	2.5	16.5	2	1	0
15	0	0	0	20	4.5	5.5	5.5	0	89.5	0	0	2.5	16.5	5.5	1	0
16	0	0	0	20	4.5	5.5	5.5	0	89	0	0	2.5	17	16	1	0
17	0	0	0	20	4.5	5.5	5.5	0	89	0	0	2.5	17	17.5	1	0
18	0	0	0	20	4.5	5.5	6	0	89	0	0	2.5	17	18	1	0
19	0	0	0	20	4.5	5.5	6.5	0	89	0	0	2.5	17	23.5	1	0
20	0	0	0	20	4.5	5.5	6.5	0	89	0	0	2.5	17	31	1	0
21	0	0	0	20	4.5	6	6.5	0	85	0	0	2.5	17	32	1	0
22	0	0	0	20.5	4.5	5.5	6.5	0	72	0	0	2.5	17	32	1	0
23	0	0	0	20.5	4.5	5	6.5	0	71.5	0	0	2.5	17	32.5	1	0
24	0	0	0	20.5	4.5	5	7	0	68.5	0	0	2.5	17	32.5	1	0
25	0	0	0	20.5	4.5	5	7	0	68	0	0	2.5	17	33	1	0
26	0	0	0	20	4.5	5	7	0	68	0	0	2.5	17	35	1	0
27	0	0	0	20	4.5	4	7	0	68	0	0	2.5	17	35	1	0
28	0	0.5	0	20	4.5	2.5	7	0	68	0	0	2.5	17	42.5	1	0
